ContactID,Fname,Lname,CellPhone,Email,Address,Zip,City,JobTitle,SSN,HireDate,CustomerSince,PersonType
3000,Stevie,Dave,4148889845,carolanne14@leannon.org,12 Main Street,49660,Manistee,Not Employee,Not Employee,null,01/03/18,CU
3001,Troy ,Fletcher,8130497327,mary.hermiston@hotmail.com,24 Huttenlocker Road,49259,Munith,Not Employee,Not Employee,null,03/19/19,CU
3002,Lindsey,Sanders,9494849682,damore.evans@gmail.com,24 W Bridge Street NE,49341,Rockford,Not Employee,Not Employee,null,04/12/18,CU
3003,Julie,Shepard,1541416628,lockman.ulises@yahoo.com,9 Knickerbocker Ct SW,49519,Wyoming,Cashier,523-56-7270,11/15/09,Not Customer,EM
3004,Christina ,Armstrong,3395145632,imelda07@welch.biz,35 Knickerbocker Ct SW,49519,Wyoming,Not Employee,Not Employee,null,06/19/20,CU
3005,Joseph,Johnson,7241077438,abernathy.jettie@hyatt.com,30 Kildeer,49649,Kingsley,Not Employee,Not Employee,null,09/10/19,CU
3006,Abigail,Wheeler,6618570157,psmitham@hotmail.com,34 Hessler Drive NE,49341,Rockford,Not Employee,Not Employee,null,09/22/21,CU
3007,Matthew,Knight,5927244897,kayli32@hotmail.com,393 HildrethStreet Jerome,49249,Jerome,Not Employee,Not Employee,null,10/11/18,CU
3008,Carlos,Lee,5373014649,dylan86@nienow.com,6195 Margaret Lane West,49042,West Constantine,Inventory support,407-71-2437,1/2/20,Not Customer,EM
3009,Troy ,Ross,1526774424,lea.bernhard@gmail.com,7206 Van Northwick Drive,49321,Comstock Park,Not Employee,Not Employee,null,09/08/19,CU
3010,Rodney,Freeman,6714651399,gerson64@yahoo.com,3942 Turnbridge Way,49723,Cross Village,Not Employee,Not Employee,null,03/07/19,CU
3011,David,Bonilla,6982400899,marty10@hyatt.net,7449 Hiridge Road,49430,Lamont,Inventory support,110-34-3204,4/5/15,Not Customer,EM
3012,Christina ,Kelly,2994472389,fern.robel@hotmail.com,2036 Cottrell Street,48036,Clinton Township,Not Employee,Not Employee,null,07/29/20,CU
3013,Karen,Barnes,4199568051,vonrueden.torrance@gmail.com,1766 Franck Street,49253,West Manitou Beach,Not Employee,Not Employee,null,09/20/21,CU
3014,Mark,Ramos,5093250832,emory04@yahoo.com,4377 Barbara Ann Blvd,49880,Rock,Not Employee,Not Employee,null,06/04/21,CU
3015,Barbara,Nichols,6996304811,nitzsche.norene@yahoo.com,8985 South 630 East Port,48467,Austin,Not Employee,Not Employee,null,08/02/19,CU
3016,Monica,Ryan,5137824211,ernestina.lemke@williamson.com,2081 Romana Way,49107,Buchanan,Not Employee,Not Employee,null,09/15/21,CU
3017,Brenda,Henry,8594347682,quitzon.dejon@gmail.com,1105 Vista Circle,49129,Union Pier,Not Employee,Not Employee,null,11/19/21,CU
3018,Allison,Reyes,4743867127,yvette.lueilwitz@hotmail.com,6029 106th Circle,48150,South Livonia,Store Owner,530-57-8453,2/9/08,Not Customer,EM
3019,Andrea,Perry,8170979932,prosacco.myrtis@stanton.com,6957 119th Street,49077,West Oshtemo,Not Employee,Not Employee,null,08/19/20,CU
3020,Christie,Levy,4224882389,jovanny55@marquardt.net,5776 Nutmeg Court,49970,Watton,Not Employee,Not Employee,null,06/18/20,CU
3021,Hedvig,Shavonne,9758262925,judah42@zboncak.com,9700 Wistar Road,48873,Pewamo,Not Employee,Not Employee,null,07/10/19,CU
3022,Chris,Strong,1535494529,tessie22@hotmail.com,2595 Ben Tirran Court,49718,Carp Lake,Not Employee,Not Employee,null,08/24/19,CU
